
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
DG ID,Player Name,Finish Position,Model Rank,Finish Highlight,Finish Bg,Finish Font,Finish Bold,Model Rank Highlight,Model Rank Bg,Model Rank Font,Model Rank Bold,SG Total Color,Driving Distance Color,Driving Accuracy Color,SG T2G Color,SG Approach Color,SG Around Green Color,SG OTT Color,SG Putting Color,Greens in Regulation Color,Fairway Proximity Color,Rough Proximity Color
"27774","Gotterup, Chris","1",103,"winner","#FFD700","#000000","bold","major_miss","#FFC7CE","#9C0006","bold","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"13562","Matsuyama, Hideki","2",3,"top5","#C0C0C0","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"26649","Thorbjornsen, Michael","T3",122,"top5","#C0C0C0","#000000","bold","major_miss","#FFC7CE","#9C0006","bold","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"26096","Bhatia, Akshay","T3",68,"top5","#C0C0C0","#000000","bold","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"14609","Kim, Si Woo","T3",11,"top5","#C0C0C0","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"18417","Scheffler, Scottie","T3",1,"top5","#C0C0C0","#000000","bold","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"23602","Hojgaard, Nicolai","T3",73,"top5","#C0C0C0","#000000","bold","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"19396","Knapp, Jake","8",113,"top10","#CD7F32","#000000","","major_miss","#FFC7CE","#9C0006","bold","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"17646","Fitzpatrick, Matt","9",66,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"28309","Coody, Pierceson","T10",34,"top10","#CD7F32","#000000","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"18841","Hovland, Viktor","T10",2,"top10","#CD7F32","#000000","","good_prediction","#C6EFCE","#006100","bold","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"22760","Hisatsune, Ryo","T10",31,"top10","#CD7F32","#000000","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"16757","Dou, Zecheng","T13",30,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"18634","McNealy, Maverick","T13",8,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"18424","Roy, Kevin","T13",118,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"18586","Smith, Jordan","T16",78,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"17606","Berger, Daniel","T16",4,"","","","","","","","","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"12965","Fowler, Rickie","T18",80,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8"
"17543","Kim, Michael","T18",18,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"17511","Straka, Sepp","T18",47,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"23014","Theegala, Sahith","T18",53,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"28159","Meissner, Mac","T18",5,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE"
"29433","Bridgeman, Jacob","T18",62,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"23504","Hoey, Rico","T24",72,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE"
"23838","Hojgaard, Rasmus","T24",77,"","","","","","","","","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"21891","Kitayama, Kurt","T24",13,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8"
"11889","Fox, Ryan","T24",19,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"16394","Jaeger, Stephan","T28",17,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"21883","Ewart, A.J.","T28",82,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#F2DEDE","#F2DEDE"
"13126","Taylor, Nick","T28",46,"","","","","","","","","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
"24968","Griffin, Ben","T28",14,"","","","","","","","","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#DFF0D8","#F2DEDE","#DFF0D8","#DFF0D8","#F2DEDE","#F2DEDE"
