
Tournament: WM Phoenix Open (2026),Last updated: 2026-02-11T16:43:11.377Z
Course: TPC Scottsdale (Stadium Course),Found 123 players from historical_csv
Data Date: 2026-02-23T18:01:31.782Z
DG ID,Player Name,Finish Position,SG Total Z,SG Total Z Adj,Driving Distance Z,Driving Distance Z Adj,Driving Accuracy Z,Driving Accuracy Z Adj,SG T2G Z,SG T2G Z Adj,SG Approach Z,SG Approach Z Adj,SG Around Green Z,SG Around Green Z Adj,SG OTT Z,SG OTT Z Adj,SG Putting Z,SG Putting Z Adj,Greens in Regulation Z,Greens in Regulation Z Adj,Fairway Proximity Z,Fairway Proximity Z Adj,Rough Proximity Z,Rough Proximity Z Adj
"27774","Gotterup, Chris","1",1.781475,1.781475,1.315884,1.315884,-0.023791,-0.023791,2.195711,2.195711,1.421613,1.421613,1.614148,1.614148,1.347043,1.347043,-0.010725,-0.010725,0.829017,0.829017,-0.212032,0.212032,-1.169122,1.169122
"13562","Matsuyama, Hideki","2",1.781475,1.781475,-0.341681,-0.341681,-1.107869,-1.107869,1.192175,1.192175,1.888081,1.888081,1.736642,1.736642,-1.290191,-1.290191,1.64741,1.64741,0.196182,0.196182,-1.322119,1.322119,-1.051856,1.051856
"26649","Thorbjornsen, Michael","T3",1.659348,1.659348,1.328659,1.328659,1.239703,1.239703,1.737689,1.737689,0.731537,0.731537,1.164065,1.164065,1.618484,1.618484,0.498097,0.498097,1.621486,1.621486,-1.095417,1.095417,0.587369,-0.587369
"26096","Bhatia, Akshay","T3",1.659348,1.659348,0.204453,0.204453,0.516985,0.516985,1.113687,1.113687,1.377456,1.377456,-0.256432,-0.256432,0.828893,0.828893,1.529131,1.529131,0.9858,0.9858,-0.813186,0.813186,-0.409801,0.409801
"14609","Kim, Si Woo","T3",1.659348,1.659348,-0.322518,-0.322518,2.144365,2.144365,2.203515,2.203515,1.407749,1.407749,1.528015,1.528015,1.451329,1.451329,-0.271583,-0.271583,0.669383,0.669383,-1.507541,1.507541,-0.107696,0.107696
"18417","Scheffler, Scottie","T3",1.659348,1.659348,1.488347,1.488347,0.696401,0.696401,1.47086,1.47086,0.971061,0.971061,0.780348,0.780348,1.134599,1.134599,0.938977,0.938977,1.78112,1.78112,-0.152283,0.152283,-0.438397,0.438397
"23602","Hojgaard, Nicolai","T3",1.659348,1.659348,1.098707,1.098707,1.05776,1.05776,1.564355,1.564355,1.143323,1.143323,0.320027,0.320027,1.508835,1.508835,0.784496,0.784496,0.672234,0.672234,-1.131071,1.131071,-0.560034,0.560034
"19396","Knapp, Jake","8",1.53722,1.53722,1.622485,1.622485,0.155625,0.155625,1.841689,1.841689,1.237798,1.237798,1.028158,1.028158,1.352109,1.352109,0.078294,0.078294,1.302218,1.302218,0.243696,-0.243696,-1.775347,1.775347
"17646","Fitzpatrick, Matt","9",1.415093,1.415093,0.57493,0.57493,1.421646,1.421646,1.88311,1.88311,1.278874,1.278874,1.112879,1.112879,1.315162,1.315162,-0.238108,-0.238108,0.9858,0.9858,-0.678706,0.678706,-0.690732,0.690732
"28309","Coody, Pierceson","T10",1.292965,1.292965,1.657617,1.657617,1.05776,1.05776,1.575461,1.575461,1.170023,1.170023,0.28508,0.28508,1.529394,1.529394,0.022254,0.022254,1.937904,1.937904,-0.087642,0.087642,-1.26593,1.26593
"18841","Hovland, Viktor","T10",1.292965,1.292965,-1.028341,-1.028341,0.337569,0.337569,0.951458,0.951458,1.398251,1.398251,1.008037,1.008037,-0.584625,-0.584625,1.053041,1.053041,0.352966,0.352966,-0.815816,0.815816,-0.286054,0.286054
"22760","Hisatsune, Ryo","T10",1.292965,1.292965,0.297072,0.297072,0.158152,0.158152,1.170414,1.170414,1.067076,1.067076,0.492294,0.492294,0.669783,0.669783,0.691261,0.691261,1.302218,1.302218,-0.556396,0.556396,-0.759547,0.759547
"16757","Dou, Zecheng","T13",1.170838,1.170838,0.38011,0.38011,-0.743982,-0.743982,0.740906,0.740906,1.163091,1.163091,0.422752,0.422752,-0.235715,-0.235715,1.153218,1.153218,0.669383,0.669383,-1.34866,1.34866,0.9448,-0.9448
"18634","McNealy, Maverick","T13",1.170838,1.170838,0.418435,0.418435,0.155625,0.155625,1.01704,1.01704,0.903543,0.903543,0.11952,0.11952,0.869713,0.869713,0.696964,0.696964,1.305069,1.305069,0.070444,-0.070444,-0.968611,0.968611
"18424","Roy, Kevin","T13",1.170838,1.170838,0.507861,0.507861,0.698928,0.698928,0.854061,0.854061,0.373663,0.373663,1.20572,1.20572,0.244297,0.244297,0.966253,0.966253,0.199033,0.199033,0.069588,-0.069588,0.183595,-0.183595
"18586","Smith, Jordan","T16",1.04871,1.04871,0.172515,0.172515,0.155625,0.155625,0.537858,0.537858,0.631671,0.631671,-0.725577,-0.725577,0.947183,0.947183,1.240749,1.240749,1.305069,1.305069,-0.172159,0.172159,0.465374,-0.465374
"17606","Berger, Daniel","T16",1.04871,1.04871,-0.092567,-0.092567,0.696401,0.696401,1.193526,1.193526,2.042629,2.042629,-0.799002,-0.799002,0.673358,0.673358,0.157395,0.157395,1.302218,1.302218,-1.181523,1.181523,-0.695931,0.695931
