course_num,n,slope,intercept,r,t_stat,p_value
510,1878,-1.344417,52.538681,-0.218544,-9.700262,0.000000
928,2006,-1.429549,57.672817,-0.188329,-8.584340,0.000000
11,2006,-1.429549,57.672817,-0.188329,-8.584340,0.000000
12,1264,-2.423487,57.304758,-0.245314,-8.989376,0.000000
714,1264,-2.423487,57.304758,-0.245314,-8.989376,0.000000
5,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
6,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
21,544,-5.381345,51.316042,-0.271632,-6.570881,0.000000
665,1286,-2.136984,55.674304,-0.172971,-6.292911,0.000000
500,506,-4.239916,46.848939,-0.240872,-5.571604,0.000000
14,506,-4.239916,46.848939,-0.240872,-5.571604,0.000000
704,779,-1.519981,53.527243,-0.090399,-2.530204,0.011400
770,742,-0.941412,56.056475,-0.040632,-1.106237,0.268624
