"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MEDIAN","","","","","","","","-0.211","0.008","288.450","0.000","57.45%","-0.010","-0.140","-0.012","-0.045","0.022","-0.068","-0.014","-0.029","-0.014","-0.067","0.030","64.83%","0.000","63.07%","0.000","3.002","-0.009","3.997","0.000","70.517","0.000","3.746","-0.012","0.039","0.000","30.318","0.000","52.417","0.000","83.00%","0.000","16.880","79.00%","0.000","21.420","55.00%","0.000","38.450","34.00%","0.000","61.890","68.00%","0.000","29.710","47.00%","0.000","42.420","0.02","0.01","0.005","-0.008"
"Expected Peformance Notes","Rank","DG ID","Player Name","Top 5","Top 10","Weighted Score","Past Perf. Mult.","SG Total","SG Total Trend","Driving Distance","Driving Distance Trend","Driving Accuracy","Driving Accuracy Trend","SG T2G","SG T2G Trend","SG Approach","SG Approach Trend","SG Around Green","SG Around Green Trend","SG OTT","SG OTT Trend","SG Putting","SG Putting Trend","Greens in Regulation","Greens in Regulation Trend","Scrambling","Scrambling Trend","Great Shots","Great Shots Trend","Poor Shots","Poor Shots Trend","Scoring Average","Scoring Average Trend","Birdies or Better","Birdies or Better Trend","Birdie Chances Created","Birdie Chances Created Trend","Fairway Proximity","Fairway Proximity Trend","Rough Proximity","Rough Proximity Trend","Approach <100 GIR","Approach <100 SG","Approach <100 Prox","Approach <150 FW GIR","Approach <150 FW SG","Approach <150 FW Prox","Approach <150 Rough GIR","Approach <150 Rough SG","Approach <150 Rough Prox","Approach >150 Rough GIR","Approach >150 Rough SG","Approach >150 Rough Prox","Approach <200 FW GIR","Approach <200 FW SG","Approach <200 FW Prox","Approach >200 FW GIR","Approach >200 FW SG","Approach >200 FW Prox","Refined Weighted Score","WAR","Delta Trend Score (median=0.005)","Delta Predictive Score (median=-0.008)"
"💪 SG Putting | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred↑ ΔTrend↑ | BucketSig ↑ z=1.25 (0.387) [S↓ M↑ L↑ VL↓]",1,"29770","Mouw, William",1,4,"1.32","0.899","1.041","0.530","289.535","-0.006","69.97%","0.000","0.229","-0.654","0.014","-0.516","-0.297","-0.059","0.512","2.049","0.685","28.774","74.45%","0.004","76.60%","0.028","3.188","-0.018","2.732","-0.058","68.881","0.000","4.283","0.008","0.039","0.000","33.644","0.031","56.568","0.014","73.00%","-1.800","20.520","75.00%","-1.080","23.030","64.00%","0.900","37.610","36.00%","-0.360","65.630","68.00%","-0.180","31.430","51.00%","0.900","43.300","1.32","0.37","0.824","0.111"
"↑ Above average | 💪 SG Around Green, SG T2G | ✅ Strong course fit | ↑ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.22 (0.048) [S↑ M↑ L↑ VL↓]",2,"18417","Scheffler, Scottie",50,64,"1.21","1.084","2.537","0.009","296.307","0.000","63.06%","-0.017","1.588","-0.040","0.337","-0.073","0.507","0.012","0.745","-0.039","0.385","0.176","74.36%","0.000","70.01%","0.005","4.098","-0.007","2.536","-0.010","67.265","0.000","5.479","-0.011","1.642","0.000","25.996","-0.015","48.176","-0.027","86.00%","1.440","14.970","86.00%","1.080","18.240","57.00%","0.900","38.290","39.00%","1.980","56.200","76.00%","1.080","26.270","51.00%","1.440","38.360","1.21","0.68","0.088","0.012"
"💪 SG Putting, SG T2G | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.45 (0.125) [S→ M↑ L↑ VL↓]",3,"21891","Kitayama, Kurt",11,15,"0.88","0.941","2.144","0.301","303.209","0.000","61.02%","-0.011","1.586","0.089","0.887","0.124","-0.205","0.053","0.904","0.043","0.622","-4.497","70.06%","-0.004","72.26%","0.029","4.142","0.031","2.852","-0.043","67.538","-0.003","5.015","0.028","0.654","0.000","25.993","-0.006","41.076","-0.044","80.00%","0.180","16.980","79.00%","0.540","21.020","54.00%","0.360","40.080","31.00%","0.180","60.900","70.00%","0.540","29.410","48.00%","0.900","37.370","0.88","0.42","0.273","0.040"
"💪 SG Around Green, SG T2G | ✅ Strong course fit | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.33 (0.083) [S→ M↑ L↑ VL↓]",4,"19895","Schauffele, Xander",23,38,"0.76","0.954","1.013","-0.051","296.799","0.000","54.65%","-0.009","1.405","0.106","0.491","0.159","0.393","1.043","0.521","-0.010","-0.410","-3.051","72.19%","0.013","72.25%","0.000","2.911","-0.046","3.559","-0.006","68.840","0.000","4.434","-0.011","0.341","0.000","29.813","0.000","44.263","-0.021","92.00%","1.080","14.950","82.00%","0.180","20.320","57.00%","0.540","37.900","32.00%","-0.360","66.860","74.00%","0.720","26.760","55.00%","0.720","38.170","0.76","0.40","0.168","0.018"
"💪 SG T2G | ↓ Putting | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.25 (0.058) [S↑ M↑ L↑ VL↓]",5,"22085","Morikawa, Collin",19,28,"0.62","1.020","1.241","0.064","289.565","0.000","72.26%","0.000","1.165","0.008","0.800","-0.011","-0.201","-0.175","0.566","-0.011","-0.484","-0.267","72.66%","0.000","60.59%","0.000","3.579","0.041","3.303","0.000","68.591","0.000","4.974","0.023","0.881","0.000","27.350","-0.006","40.557","-0.019","88.00%","0.360","16.280","83.00%","0.900","18.180","62.00%","1.080","33.350","28.00%","0.000","62.590","73.00%","1.080","27.150","49.00%","0.720","41.930","0.62","0.33","0.114","0.003"
"💪 SG Putting, SG T2G | 👍 Good course fit | ↑ Tee-to-green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↑ z=0.42 (0.113) [S↑ M↓ L↑ VL↓]",6,"19396","Knapp, Jake",7,11,"0.60","1.028","1.808","0.083","296.224","0.000","58.67%","-0.009","0.884","1.579","0.729","-0.385","-0.055","-0.089","0.209","-0.059","1.168","0.005","66.31%","0.000","70.32%","-0.006","4.333","0.020","3.934","0.036","68.061","0.000","5.223","0.022","0.261","0.000","26.172","-0.023","43.253","-0.027","87.00%","-0.180","20.100","80.00%","0.180","21.640","60.00%","1.260","35.570","34.00%","0.000","62.960","63.00%","-0.900","32.060","48.00%","0.000","43.240","0.60","0.34","0.287","0.021"
"💪 SG Putting, SG T2G | ✅ Strong course fit | ℹ️ Recent bucket trend weak (short-term) despite baseline fit | ↑ Around green | For Course Setup - ΔPred→ ΔTrend→ | BucketSig ↓ z=-0.46 (-0.174) [S↑ M↓ L↓ VL↑]",7,"15310","Li, Haotong",1,2,"0.51","1.001","1.291","-0.024","291.492","0.000","64.02%","0.000","0.855","-0.108","0.599","-0.079","-0.312","0.559","0.569","0.019","0.497","0.215","74.03%","0.000","64.47%","0.007","2.871","-0.042","2.772","-0.016","68.883","0.000","3.897","-0.021","1.212","0.000","30.212","0.000","42.753","-0.013","89.00%","1.980","16.410","76.00%","0.000","20.250","59.00%","1.080","42.140","56.00%","1.980","49.250","76.00%","0.900","29.430","49.00%","-0.180","40.850","0.51","0.41","-0.366","-0.078"
"💪 SG T2G, Approach >200 FW Prox | 👍 Good course fit | ↑ Putting | For Course Setup - ΔPred↑ ΔTrend→ | BucketSig ↑ z=0.75 (0.223) [S↑ M↓ L↑ VL↓]",8,"23602","Hojgaard, Nicolai",4,8,"0.51","0.997","1.168","0.087","296.234","-0.005","55.91%","0.011","0.719","0.029","0.595","0.000","-0.036","-0.506","0.160","-0.019","-0.079","0.693","67.23%","0.003","66.03%","0.021","3.996","0.009","3.503","-0.010","69.173","0.000","4.542","0.028","0.534","0.000","27.663","-0.007","44.871","-0.018","87.00%","0.900","15.880","78.00%","-0.360","21.440","62.00%","0.180","40.000","34.00%","0.360","57.440","73.00%","0.540","30.100","57.00%","1.260","38.940","0.51","0.28","0.447","0.069"
