,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Major,event_name,event_id,course_nam,course_num,course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year),course_nam,course_num (year)
,3M Open,525,TPC Twin Cities,"883 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,A Military Tribute at The Greenbrier,490,The Old White TPC,"771 (2019, 2018, 2017)",,,,,,,,,,,,,,
,Arnold Palmer Invitational presented by Mastercard,9,Arnold Palmer's Bay Hill Club & Lodge,"9 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,AT&T Pebble Beach Pro-Am,5,Pebble Beach Golf Links,"5 (2025, 2024, 2023, 2022)",Spyglass Hill Golf Course,"205 (2025, 2024, 2023, 2022)",Monterey Peninsula CC,"769 (2023, 2022)",,,,,,,,,,
,Bank of Utah Championship,554,Black Desert Resort,"930 (2025, 2024)",,,,,,,,,,,,,,
,Barracuda Championship,472,Tahoe Mountain Club (Old Greenwood),"931 (2025, 2024)",Tahoe Mountain Club (Old Greenwood),"890 (2023, 2022)",,,,,,,,,,,,
,Baycurrent Classic,527,Yokohama Country Club,936 (2025),ACCORDIA GOLF Narashino Country Club,"875 (2024, 2022)",,,,,,,,,,,,
,BMW Championship,28,Caves Valley Golf Club,882 (2025),Castle Pines Golf Club,406 (2024),Olympia Fields Country Club (North Course),896 (2023),Wilmington Country Club,901 (2022),,,,,,,,
,Butterfield Bermuda Championship,528,Port Royal Golf Course,"765 (2025, 2024, 2022)",,,,,,,,,,,,,,
,Butterfield Bermuda Championship #2,548,Port Royal Golf Course,765 (2023),,,,,,,,,,,,,,
,Charles Schwab Challenge,21,Colonial Country Club,"21 (2025, 2024, 2023, 2022)",,,,,,,,,,,,,,
,CIMB Classic,494,PGA National Resort (The Champion Course),"928 (2025, 2024)",PGA National Resort (The Champion),"734 (2023, 2022, 2021)",,,,,,,,,,,,
,Cognizant Classic in The Palm Beaches,10,PGA National Resort (The Champion Course),"928 (2025, 2024)",PGA National Resort (The Champion),"734 (2023, 2022)",,,,,,,,,,,,
