G,G,G,G,G,G,,Instructions
42307077,42307080,42307109,42307111,42307113,42307131,,
42307080,42307081,42307090,42307109,42307111,42307131,,
42307080,42307081,42307090,42307109,42307113,42307131,,
42307077,42307080,42307103,42307109,42307111,42307147,,
42307077,42307090,42307099,42307103,42307111,42307113,,
42307077,42307090,42307099,42307101,42307103,42307131,,
42307081,42307083,42307099,42307101,42307103,42307113,,
42307081,42307083,42307091,42307099,42307101,42307147,,
42307083,42307091,42307093,42307100,42307101,42307102,,
42307083,42307091,42307093,42307094,42307102,42307108,,
42307088,42307089,42307091,42307093,42307102,42307108,,
42307087,42307089,42307093,42307094,42307102,42307104,,
42307087,42307088,42307089,42307094,42307108,42307112,,
42307087,42307088,42307089,42307094,42307107,42307112,,
42307078,42307088,42307100,42307104,42307107,42307108,,
42307078,42307087,42307100,42307104,42307107,42307112,,
42307078,42307084,42307097,42307100,42307104,42307147,,
42307078,42307084,42307095,42307097,42307112,42307147,,
42307082,42307084,42307085,42307107,42307118,42307124,,
42307084,42307085,42307092,42307095,42307097,42307143,,
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,G,Xander Schauffele (42307077),Xander Schauffele,42307077,G,10900,Valspar Championship,Golf,76
,,,,,,,G,Viktor Hovland (42307078),Viktor Hovland,42307078,G,10400,Valspar Championship,Golf,74.43
,,,,,,,G,Akshay Bhatia (42307079),Akshay Bhatia,42307079,G,10000,Valspar Championship,Golf,86.93
,,,,,,,G,Matt Fitzpatrick (42307080),Matt Fitzpatrick,42307080,G,9800,Valspar Championship,Golf,88
,,,,,,,G,Jacob Bridgeman (42307081),Jacob Bridgeman,42307081,G,9600,Valspar Championship,Golf,100.71
,,,,,,,G,Justin Thomas (42307082),Justin Thomas,42307082,G,9500,Valspar Championship,Golf,52.5
,,,,,,,G,Patrick Cantlay (42307083),Patrick Cantlay,42307083,G,9400,Valspar Championship,Golf,67.33
,,,,,,,G,Jordan Spieth (42307084),Jordan Spieth,42307084,G,9300,Valspar Championship,Golf,72.42
,,,,,,,G,Ben Griffin (42307085),Ben Griffin,42307085,G,9200,Valspar Championship,Golf,66.86
,,,,,,,G,Brooks Koepka (42307086),Brooks Koepka,42307086,G,9100,Valspar Championship,Golf,56.35
,,,,,,,G,Corey Conners (42307087),Corey Conners,42307087,G,9000,Valspar Championship,Golf,62.17
,,,,,,,G,Nicolai Hojgaard (42307088),Nicolai Hojgaard,42307088,G,8900,Valspar Championship,Golf,81.64
,,,,,,,G,Sahith Theegala (42307089),Sahith Theegala,42307089,G,8800,Valspar Championship,Golf,85.5
,,,,,,,G,J.J. Spaun (42307090),J.J. Spaun,42307090,G,8700,Valspar Championship,Golf,51.75
,,,,,,,G,Ryo Hisatsune (42307091),Ryo Hisatsune,42307091,G,8600,Valspar Championship,Golf,78.83
,,,,,,,G,Keegan Bradley (42307092),Keegan Bradley,42307092,G,8500,Valspar Championship,Golf,54.75
,,,,,,,G,Nick Taylor (42307093),Nick Taylor,42307093,G,8400,Valspar Championship,Golf,74.12
,,,,,,,G,Taylor Pendrith (42307094),Taylor Pendrith,42307094,G,8300,Valspar Championship,Golf,68.71
,,,,,,,G,Davis Thompson (42307095),Davis Thompson,42307095,G,8200,Valspar Championship,Golf,61
,,,,,,,G,Rasmus Hojgaard (42307096),Rasmus Hojgaard,42307096,G,8100,Valspar Championship,Golf,65.25
,,,,,,,G,Wyndham Clark (42307097),Wyndham Clark,42307097,G,8000,Valspar Championship,Golf,77.92
,,,,,,,G,Max Homa (42307098),Max Homa,42307098,G,8000,Valspar Championship,Golf,70.17
,,,,,,,G,Aaron Rai (42307099),Aaron Rai,42307099,G,7900,Valspar Championship,Golf,59.1
,,,,,,,G,Ricky Castillo (42307100),Ricky Castillo,42307100,G,7900,Valspar Championship,Golf,89.25
,,,,,,,G,Matthew McCarty (42307101),Matthew McCarty,42307101,G,7800,Valspar Championship,Golf,67.5
,,,,,,,G,Alex Smalley (42307102),Alex Smalley,42307102,G,7800,Valspar Championship,Golf,70.5
