season,book,odd_source,tournament_slug,event,odds_generated_at,odds_graded_at,player,dg_id,market,odds,stake,settled stake,total return,net,roi,,p_model,p_implied,edge
2026,bet365,live,texas-childrens-open,20,2026-03-29 04:25:07 UTC,,"Pavon, Matthieu",19960,top_20,51,17,,,,,,0.9550751359907369,0.0196078431372549,0.935467292853482
2026,bet365,live,texas-childrens-open,20,2026-03-29 04:25:07 UTC,,"Yellamaraju, Sudarshan",29925,top_10,67,9,,,,,,0.5146962677788561,0.014925373134328358,0.4997708946445278
2026,bet365,live,texas-childrens-open,20,2026-03-29 04:25:07 UTC,,"Ford, David",31343,top_10,101,9,,,,,,0.5014498961869733,0.009900990099009901,0.4915489060879634
2026,bet365,live,texas-childrens-open,20,2026-03-29 04:25:07 UTC,,"Greyserman, Max",23465,top_10,67,9,,,,,,0.506085982369212,0.014925373134328358,0.49116060923488364
2026,bet365,live,texas-childrens-open,20,2026-03-29 04:25:07 UTC,,"Hojgaard, Rasmus",23838,top_10,56,9,,,,,,0.5066787695382682,0.017857142857142856,0.48882162668112533
2026,bet365,live,texas-childrens-open,20,2026-03-29 04:25:07 UTC,,"Thorbjornsen, Michael",26649,top_10,41,9,,,,,,0.5129028304218746,0.024390243902439025,0.4885125865194355
2026,bet365,live,texas-childrens-open,20,2026-03-29 04:25:07 UTC,,"Smith, Jordan",18586,top_10,67,9,,,,,,0.5,0.014925373134328358,0.48507462686567165
2026,bet365,live,texas-childrens-open,20,2026-03-29 14:31:00 UTC,,"Yellamaraju, Sudarshan over Waring, Paul / Theegala, Sahith",29925,3_balls,2.6,10,,,,,,0.5434093630933493,0.3846153846153846,0.15879397847796473
2026,bet365,live,texas-childrens-open,20,2026-03-29 14:31:00 UTC,,"Dou, Zecheng over Brennan, Michael / Suber, Jackson",16757,3_balls,2.87,8,,,,,,0.45296560535989683,0.3484320557491289,0.10453354961076794
2026,caesars,live,texas-childrens-open,20,2026-03-29 14:31:00 UTC,,"Koepka, Brooks",16243,tournament_matchups,2.05,11,,,,,,0.5886365926344996,0.48780487804878053,0.1008317145857191
