rank,total_salary,total_model_score,total_actual_points,p1_name,p1_dgid,p1_salary,p1_model,p1_actual,p2_name,p2_dgid,p2_salary,p2_model,p2_actual,p3_name,p3_dgid,p3_salary,p3_model,p3_actual,p4_name,p4_dgid,p4_salary,p4_model,p4_actual,p5_name,p5_dgid,p5_salary,p5_model,p5_actual,p6_name,p6_dgid,p6_salary,p6_model,p6_actual
1,49200,4.38927580903989,305.5,"Scheffler, Scottie",18417,14100,0.7560865752651064,73.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5,"Smotherman, Austin",22985,6400,0.4472514793321743,25
2,49700,4.2529637325901986,345.5,"Scheffler, Scottie",18417,14100,0.7560865752651064,73.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Mitchell, Keith",17365,6900,0.31093940288248323,65,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5
3,50000,4.242568239244392,312,"Scheffler, Scottie",18417,14100,0.7560865752651064,73.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"Gerard, Ryan",29767,7200,0.3005439095366769,31.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5
4,47900,4.2409446048731665,325.5,"English, Harris",14577,8900,0.5810899044614184,70.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"Fleetwood, Tommy",12294,10300,0.47391694596913914,48,"Lowry, Shane",13900,8100,0.9143425038926829,28.5
5,44000,4.2142791382362015,302.5,"English, Harris",14577,8900,0.5810899044614184,70.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5,"Smotherman, Austin",22985,6400,0.4472514793321743,25
6,45800,4.211617886220321,335,"English, Harris",14577,8900,0.5810899044614184,70.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Kitayama, Kurt",21891,8200,0.44459022731629344,57.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5
7,46800,4.198206812139758,348.5,"Kim, Si Woo",14609,9200,0.4311791532357303,71,"English, Harris",14577,8900,0.5810899044614184,70.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5
8,49700,4.163509410676979,320,"Scheffler, Scottie",18417,14100,0.7560865752651064,73.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Mitchell, Keith",17365,6900,0.31093940288248323,65,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5,"Smotherman, Austin",22985,6400,0.4472514793321743,25
9,50000,4.153113917331172,286.5,"Scheffler, Scottie",18417,14100,0.7560865752651064,73.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Gerard, Ryan",29767,7200,0.3005439095366769,31.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5,"Smotherman, Austin",22985,6400,0.4472514793321743,25
10,47900,4.151490282959947,300,"English, Harris",14577,8900,0.5810899044614184,70.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Fleetwood, Tommy",12294,10300,0.47391694596913914,48,"Lowry, Shane",13900,8100,0.9143425038926829,28.5,"Smotherman, Austin",22985,6400,0.4472514793321743,25
11,49700,4.148829030944066,332.5,"English, Harris",14577,8900,0.5810899044614184,70.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Kitayama, Kurt",21891,8200,0.44459022731629344,57.5,"Fleetwood, Tommy",12294,10300,0.47391694596913914,48,"Lowry, Shane",13900,8100,0.9143425038926829,28.5
12,49200,4.133585374169179,315,"English, Harris",14577,8900,0.5810899044614184,70.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"McIlroy, Rory",10091,11600,0.3665577152651517,37.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5
13,45800,4.122163564307101,309.5,"English, Harris",14577,8900,0.5810899044614184,70.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Kitayama, Kurt",21891,8200,0.44459022731629344,57.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5,"Smotherman, Austin",22985,6400,0.4472514793321743,25
14,48800,4.113751138545101,334,"Scheffler, Scottie",18417,14100,0.7560865752651064,73.5,"Echavarria, Nico",22833,7000,0.8778148227154449,65.5,"Hojgaard, Nicolai",23602,7200,0.8570746265890871,62.5,"Bennett, Daniel",30332,6000,0.1717268088373858,53.5,"Moore, Taylor",21944,6400,0.5367058012453939,50.5,"Lowry, Shane",13900,8100,0.9143425038926829,28.5
