rank,total_salary,total_points,total_ownership,p1_name,p1_dgid,p1_salary,p1_points,p1_own,p2_name,p2_dgid,p2_salary,p2_points,p2_own,p3_name,p3_dgid,p3_salary,p3_points,p3_own,p4_name,p4_dgid,p4_salary,p4_points,p4_own,p5_name,p5_dgid,p5_salary,p5_points,p5_own,p6_name,p6_dgid,p6_salary,p6_points,p6_own
1,50000,360.01000000000005,77.91,"Schauffele, Xander",19895,10900,72.83,23.36,"Fitzpatrick, Matt",17646,9800,71.41,22.15,"McGreevy, Max",23505,7500,56.24,7.24,"Smotherman, Austin",22985,7400,54.18,14.83,"Meissner, Mac",28159,7400,53.98,7.3,"Hoey, Rico",23504,7000,51.37,3.03
2,50000,359.6,91.25999999999999,"Fitzpatrick, Matt",17646,9800,71.41,22.15,"Bridgeman, Jacob",29433,9600,65.25,29.77,"Spaun, J.J.",17536,8700,61.15,14.24,"McGreevy, Max",23505,7500,56.24,7.24,"Smotherman, Austin",22985,7400,54.18,14.83,"Hoey, Rico",23504,7000,51.37,3.03
3,50000,359.40000000000003,83.72999999999999,"Fitzpatrick, Matt",17646,9800,71.41,22.15,"Bridgeman, Jacob",29433,9600,65.25,29.77,"Spaun, J.J.",17536,8700,61.15,14.24,"McGreevy, Max",23505,7500,56.24,7.24,"Meissner, Mac",28159,7400,53.98,7.3,"Hoey, Rico",23504,7000,51.37,3.03
4,50000,359.27,77.89999999999999,"Schauffele, Xander",19895,10900,72.83,23.36,"Fitzpatrick, Matt",17646,9800,71.41,22.15,"Bezuidenhout, Christiaan",18103,7700,55.46,6.08,"McGreevy, Max",23505,7500,56.24,7.24,"Smotherman, Austin",22985,7400,54.18,14.83,"Brennan, Michael",29197,6700,49.15,4.24
5,50000,353.68,75.27,"Schauffele, Xander",19895,10900,72.83,23.36,"Spaun, J.J.",17536,8700,61.15,14.24,"Rai, Aaron",18554,7900,56.08,9.46,"Bezuidenhout, Christiaan",18103,7700,55.46,6.08,"Smotherman, Austin",22985,7400,54.18,14.83,"Meissner, Mac",28159,7400,53.98,7.3
6,50000,352.2,62.95,"Schauffele, Xander",19895,10900,72.83,23.36,"Spaun, J.J.",17536,8700,61.15,14.24,"Rai, Aaron",18554,7900,56.08,9.46,"McCarty, Matt",28635,7800,55.31,6.78,"Bezuidenhout, Christiaan",18103,7700,55.46,6.08,"Hoey, Rico",23504,7000,51.37,3.03
7,49800,349.95,73.46000000000001,"Bridgeman, Jacob",29433,9600,65.25,29.77,"Cantlay, Patrick",15466,9400,63.87,14.07,"Rai, Aaron",18554,7900,56.08,9.46,"McCarty, Matt",28635,7800,55.31,6.78,"Bezuidenhout, Christiaan",18103,7700,55.46,6.08,"Meissner, Mac",28159,7400,53.98,7.3
8,50000,349.04999999999995,87.49,"Bridgeman, Jacob",29433,9600,65.25,29.77,"Cantlay, Patrick",15466,9400,63.87,14.07,"Hisatsune, Ryo",22760,8600,59.39,23.17,"Rai, Aaron",18554,7900,56.08,9.46,"McCarty, Matt",28635,7800,55.31,6.78,"Brennan, Michael",29197,6700,49.15,4.24
9,49900,346.21999999999997,71.14,"Cantlay, Patrick",15466,9400,63.87,14.07,"Hisatsune, Ryo",22760,8600,59.39,23.17,"Taylor, Nick",13126,8400,58.23,12.15,"Castillo, Ricky",27819,7900,54.29,7.23,"McCarty, Matt",28635,7800,55.31,6.78,"Smalley, Alex",18474,7800,55.13,7.74
10,50000,345.97999999999996,72.49000000000001,"Cantlay, Patrick",15466,9400,63.87,14.07,"Hisatsune, Ryo",22760,8600,59.39,23.17,"Taylor, Nick",13126,8400,58.23,12.15,"Pendrith, Taylor",17780,8300,56.59,6,"Smalley, Alex",18474,7800,55.13,7.74,"Cauley, Bud",14502,7500,52.77,9.36
