market,gate_p_min,odds_cap,n,win_rate,base_win,base_total
outright_win,0.005,3,0,0.0000,0.0373,402
outright_win,0.005,4,0,0.0000,0.0373,402
outright_win,0.005,5,0,0.0000,0.0373,402
outright_win,0.005,6,0,0.0000,0.0373,402
outright_win,0.005,7,0,0.0000,0.0373,402
outright_win,0.005,8,0,0.0000,0.0373,402
outright_win,0.005,9,0,0.0000,0.0373,402
outright_win,0.005,10,2,0.0000,0.0373,402
outright_win,0.005,12,4,0.2500,0.0373,402
outright_win,0.005,15,5,0.4000,0.0373,402
outright_win,0.005,20,12,0.2500,0.0373,402
outright_win,0.005,25,22,0.1364,0.0373,402
outright_win,0.005,30,31,0.0968,0.0373,402
outright_win,0.005,40,44,0.0682,0.0373,402
outright_win,0.005,50,52,0.0577,0.0373,402
outright_win,0.005,75,96,0.0625,0.0373,402
outright_win,0.005,100,125,0.0640,0.0373,402
outright_win,0.005,150,179,0.0670,0.0373,402
outright_win,0.005,200,219,0.0548,0.0373,402
outright_win,0.010,3,0,0.0000,0.0373,402
outright_win,0.010,4,0,0.0000,0.0373,402
outright_win,0.010,5,0,0.0000,0.0373,402
outright_win,0.010,6,0,0.0000,0.0373,402
outright_win,0.010,7,0,0.0000,0.0373,402
outright_win,0.010,8,0,0.0000,0.0373,402
outright_win,0.010,9,0,0.0000,0.0373,402
outright_win,0.010,10,2,0.0000,0.0373,402
outright_win,0.010,12,4,0.2500,0.0373,402
outright_win,0.010,15,5,0.4000,0.0373,402
outright_win,0.010,20,11,0.2727,0.0373,402
outright_win,0.010,25,19,0.1579,0.0373,402
outright_win,0.010,30,25,0.1200,0.0373,402
outright_win,0.010,40,32,0.0938,0.0373,402
outright_win,0.010,50,36,0.0833,0.0373,402
outright_win,0.010,75,42,0.0714,0.0373,402
outright_win,0.010,100,44,0.0682,0.0373,402
outright_win,0.010,150,47,0.0638,0.0373,402
outright_win,0.010,200,52,0.0577,0.0373,402
outright_win,0.015,3,0,0.0000,0.0373,402
outright_win,0.015,4,0,0.0000,0.0373,402
outright_win,0.015,5,0,0.0000,0.0373,402
outright_win,0.015,6,0,0.0000,0.0373,402
outright_win,0.015,7,0,0.0000,0.0373,402
outright_win,0.015,8,0,0.0000,0.0373,402
outright_win,0.015,9,0,0.0000,0.0373,402
outright_win,0.015,10,2,0.0000,0.0373,402
outright_win,0.015,12,4,0.2500,0.0373,402
outright_win,0.015,15,5,0.4000,0.0373,402
outright_win,0.015,20,7,0.4286,0.0373,402
outright_win,0.015,25,9,0.3333,0.0373,402
outright_win,0.015,30,9,0.3333,0.0373,402
outright_win,0.015,40,9,0.3333,0.0373,402
outright_win,0.015,50,9,0.3333,0.0373,402
outright_win,0.015,75,9,0.3333,0.0373,402
outright_win,0.015,100,9,0.3333,0.0373,402
outright_win,0.015,150,9,0.3333,0.0373,402
outright_win,0.015,200,9,0.3333,0.0373,402
outright_win,0.020,3,0,0.0000,0.0373,402
outright_win,0.020,4,0,0.0000,0.0373,402
outright_win,0.020,5,0,0.0000,0.0373,402
outright_win,0.020,6,0,0.0000,0.0373,402
outright_win,0.020,7,0,0.0000,0.0373,402
outright_win,0.020,8,0,0.0000,0.0373,402
outright_win,0.020,9,0,0.0000,0.0373,402
outright_win,0.020,10,0,0.0000,0.0373,402
outright_win,0.020,12,0,0.0000,0.0373,402
outright_win,0.020,15,0,0.0000,0.0373,402
outright_win,0.020,20,0,0.0000,0.0373,402
outright_win,0.020,25,0,0.0000,0.0373,402
outright_win,0.020,30,0,0.0000,0.0373,402
outright_win,0.020,40,0,0.0000,0.0373,402
outright_win,0.020,50,0,0.0000,0.0373,402
outright_win,0.020,75,0,0.0000,0.0373,402
outright_win,0.020,100,0,0.0000,0.0373,402
outright_win,0.020,150,0,0.0000,0.0373,402
outright_win,0.020,200,0,0.0000,0.0373,402
outright_win,0.030,3,0,0.0000,0.0373,402
outright_win,0.030,4,0,0.0000,0.0373,402
outright_win,0.030,5,0,0.0000,0.0373,402
outright_win,0.030,6,0,0.0000,0.0373,402
outright_win,0.030,7,0,0.0000,0.0373,402
outright_win,0.030,8,0,0.0000,0.0373,402
outright_win,0.030,9,0,0.0000,0.0373,402
outright_win,0.030,10,0,0.0000,0.0373,402
outright_win,0.030,12,0,0.0000,0.0373,402
outright_win,0.030,15,0,0.0000,0.0373,402
outright_win,0.030,20,0,0.0000,0.0373,402
outright_win,0.030,25,0,0.0000,0.0373,402
outright_win,0.030,30,0,0.0000,0.0373,402
outright_win,0.030,40,0,0.0000,0.0373,402
outright_win,0.030,50,0,0.0000,0.0373,402
outright_win,0.030,75,0,0.0000,0.0373,402
outright_win,0.030,100,0,0.0000,0.0373,402
outright_win,0.030,150,0,0.0000,0.0373,402
outright_win,0.030,200,0,0.0000,0.0373,402
