market,gate_p_min,odds_cap,n,win_rate,base_win,base_total
round_matchups,0.600,3,1562,0.4731,0.3753,15302
round_matchups,0.600,4,1562,0.4731,0.3753,15302
round_matchups,0.600,5,1562,0.4731,0.3753,15302
round_matchups,0.600,6,1562,0.4731,0.3753,15302
round_matchups,0.600,7,1562,0.4731,0.3753,15302
round_matchups,0.600,8,1562,0.4731,0.3753,15302
round_matchups,0.600,9,1562,0.4731,0.3753,15302
round_matchups,0.600,10,1562,0.4731,0.3753,15302
round_matchups,0.600,12,1562,0.4731,0.3753,15302
round_matchups,0.600,15,1562,0.4731,0.3753,15302
round_matchups,0.600,20,1562,0.4731,0.3753,15302
round_matchups,0.600,25,1562,0.4731,0.3753,15302
round_matchups,0.600,30,1562,0.4731,0.3753,15302
round_matchups,0.600,40,1562,0.4731,0.3753,15302
round_matchups,0.600,50,1562,0.4731,0.3753,15302
round_matchups,0.600,75,1562,0.4731,0.3753,15302
round_matchups,0.600,100,1562,0.4731,0.3753,15302
round_matchups,0.600,150,1562,0.4731,0.3753,15302
round_matchups,0.600,200,1562,0.4731,0.3753,15302
round_matchups,0.650,3,746,0.4759,0.3753,15302
round_matchups,0.650,4,746,0.4759,0.3753,15302
round_matchups,0.650,5,746,0.4759,0.3753,15302
round_matchups,0.650,6,746,0.4759,0.3753,15302
round_matchups,0.650,7,746,0.4759,0.3753,15302
round_matchups,0.650,8,746,0.4759,0.3753,15302
round_matchups,0.650,9,746,0.4759,0.3753,15302
round_matchups,0.650,10,746,0.4759,0.3753,15302
round_matchups,0.650,12,746,0.4759,0.3753,15302
round_matchups,0.650,15,746,0.4759,0.3753,15302
round_matchups,0.650,20,746,0.4759,0.3753,15302
round_matchups,0.650,25,746,0.4759,0.3753,15302
round_matchups,0.650,30,746,0.4759,0.3753,15302
round_matchups,0.650,40,746,0.4759,0.3753,15302
round_matchups,0.650,50,746,0.4759,0.3753,15302
round_matchups,0.650,75,746,0.4759,0.3753,15302
round_matchups,0.650,100,746,0.4759,0.3753,15302
round_matchups,0.650,150,746,0.4759,0.3753,15302
round_matchups,0.650,200,746,0.4759,0.3753,15302
round_matchups,0.700,3,307,0.4560,0.3753,15302
round_matchups,0.700,4,307,0.4560,0.3753,15302
round_matchups,0.700,5,307,0.4560,0.3753,15302
round_matchups,0.700,6,307,0.4560,0.3753,15302
round_matchups,0.700,7,307,0.4560,0.3753,15302
round_matchups,0.700,8,307,0.4560,0.3753,15302
round_matchups,0.700,9,307,0.4560,0.3753,15302
round_matchups,0.700,10,307,0.4560,0.3753,15302
round_matchups,0.700,12,307,0.4560,0.3753,15302
round_matchups,0.700,15,307,0.4560,0.3753,15302
round_matchups,0.700,20,307,0.4560,0.3753,15302
round_matchups,0.700,25,307,0.4560,0.3753,15302
round_matchups,0.700,30,307,0.4560,0.3753,15302
round_matchups,0.700,40,307,0.4560,0.3753,15302
round_matchups,0.700,50,307,0.4560,0.3753,15302
round_matchups,0.700,75,307,0.4560,0.3753,15302
round_matchups,0.700,100,307,0.4560,0.3753,15302
round_matchups,0.700,150,307,0.4560,0.3753,15302
round_matchups,0.700,200,307,0.4560,0.3753,15302
round_matchups,0.750,3,153,0.4902,0.3753,15302
round_matchups,0.750,4,153,0.4902,0.3753,15302
round_matchups,0.750,5,153,0.4902,0.3753,15302
round_matchups,0.750,6,153,0.4902,0.3753,15302
round_matchups,0.750,7,153,0.4902,0.3753,15302
round_matchups,0.750,8,153,0.4902,0.3753,15302
round_matchups,0.750,9,153,0.4902,0.3753,15302
round_matchups,0.750,10,153,0.4902,0.3753,15302
round_matchups,0.750,12,153,0.4902,0.3753,15302
round_matchups,0.750,15,153,0.4902,0.3753,15302
round_matchups,0.750,20,153,0.4902,0.3753,15302
round_matchups,0.750,25,153,0.4902,0.3753,15302
round_matchups,0.750,30,153,0.4902,0.3753,15302
round_matchups,0.750,40,153,0.4902,0.3753,15302
round_matchups,0.750,50,153,0.4902,0.3753,15302
round_matchups,0.750,75,153,0.4902,0.3753,15302
round_matchups,0.750,100,153,0.4902,0.3753,15302
round_matchups,0.750,150,153,0.4902,0.3753,15302
round_matchups,0.750,200,153,0.4902,0.3753,15302
round_matchups,0.800,3,57,0.5789,0.3753,15302
round_matchups,0.800,4,57,0.5789,0.3753,15302
round_matchups,0.800,5,57,0.5789,0.3753,15302
round_matchups,0.800,6,57,0.5789,0.3753,15302
round_matchups,0.800,7,57,0.5789,0.3753,15302
round_matchups,0.800,8,57,0.5789,0.3753,15302
round_matchups,0.800,9,57,0.5789,0.3753,15302
round_matchups,0.800,10,57,0.5789,0.3753,15302
round_matchups,0.800,12,57,0.5789,0.3753,15302
round_matchups,0.800,15,57,0.5789,0.3753,15302
round_matchups,0.800,20,57,0.5789,0.3753,15302
round_matchups,0.800,25,57,0.5789,0.3753,15302
round_matchups,0.800,30,57,0.5789,0.3753,15302
round_matchups,0.800,40,57,0.5789,0.3753,15302
round_matchups,0.800,50,57,0.5789,0.3753,15302
round_matchups,0.800,75,57,0.5789,0.3753,15302
round_matchups,0.800,100,57,0.5789,0.3753,15302
round_matchups,0.800,150,57,0.5789,0.3753,15302
round_matchups,0.800,200,57,0.5789,0.3753,15302
