market,gate_p_min,odds_cap,n,win_rate,base_win,base_total
top_10,0.05,3,145,0.1034,0.0527,531
top_10,0.05,4,166,0.0904,0.0527,531
top_10,0.05,5,188,0.0798,0.0527,531
top_10,0.05,6,202,0.0792,0.0527,531
top_10,0.05,7,229,0.0786,0.0527,531
top_10,0.05,8,250,0.0800,0.0527,531
top_10,0.05,9,269,0.0781,0.0527,531
top_10,0.05,10,299,0.0769,0.0527,531
top_10,0.05,12,338,0.0740,0.0527,531
top_10,0.05,15,372,0.0672,0.0527,531
top_10,0.05,20,402,0.0672,0.0527,531
top_10,0.05,25,458,0.0611,0.0527,531
top_10,0.05,30,481,0.0582,0.0527,531
top_10,0.05,40,499,0.0561,0.0527,531
top_10,0.05,50,506,0.0553,0.0527,531
top_10,0.05,75,520,0.0538,0.0527,531
top_10,0.05,100,528,0.0530,0.0527,531
top_10,0.05,150,529,0.0529,0.0527,531
top_10,0.05,200,530,0.0528,0.0527,531
top_10,0.10,3,145,0.1034,0.0527,531
top_10,0.10,4,166,0.0904,0.0527,531
top_10,0.10,5,188,0.0798,0.0527,531
top_10,0.10,6,202,0.0792,0.0527,531
top_10,0.10,7,229,0.0786,0.0527,531
top_10,0.10,8,250,0.0800,0.0527,531
top_10,0.10,9,269,0.0781,0.0527,531
top_10,0.10,10,299,0.0769,0.0527,531
top_10,0.10,12,338,0.0740,0.0527,531
top_10,0.10,15,372,0.0672,0.0527,531
top_10,0.10,20,402,0.0672,0.0527,531
top_10,0.10,25,458,0.0611,0.0527,531
top_10,0.10,30,481,0.0582,0.0527,531
top_10,0.10,40,499,0.0561,0.0527,531
top_10,0.10,50,506,0.0553,0.0527,531
top_10,0.10,75,520,0.0538,0.0527,531
top_10,0.10,100,528,0.0530,0.0527,531
top_10,0.10,150,529,0.0529,0.0527,531
top_10,0.10,200,530,0.0528,0.0527,531
top_10,0.15,3,145,0.1034,0.0527,531
top_10,0.15,4,166,0.0904,0.0527,531
top_10,0.15,5,188,0.0798,0.0527,531
top_10,0.15,6,202,0.0792,0.0527,531
top_10,0.15,7,229,0.0786,0.0527,531
top_10,0.15,8,250,0.0800,0.0527,531
top_10,0.15,9,269,0.0781,0.0527,531
top_10,0.15,10,299,0.0769,0.0527,531
