market,gate_p_min,odds_cap,n,win_rate,base_win,base_total
tournament_matchups,0.55,3,2760,0.4754,0.3753,15302
tournament_matchups,0.55,4,2760,0.4754,0.3753,15302
tournament_matchups,0.55,5,2760,0.4754,0.3753,15302
tournament_matchups,0.55,6,2760,0.4754,0.3753,15302
tournament_matchups,0.55,7,2760,0.4754,0.3753,15302
tournament_matchups,0.55,8,2760,0.4754,0.3753,15302
tournament_matchups,0.55,9,2760,0.4754,0.3753,15302
tournament_matchups,0.55,10,2760,0.4754,0.3753,15302
tournament_matchups,0.55,12,2760,0.4754,0.3753,15302
tournament_matchups,0.55,15,2760,0.4754,0.3753,15302
tournament_matchups,0.55,20,2760,0.4754,0.3753,15302
tournament_matchups,0.55,25,2760,0.4754,0.3753,15302
tournament_matchups,0.55,30,2760,0.4754,0.3753,15302
tournament_matchups,0.55,40,2760,0.4754,0.3753,15302
tournament_matchups,0.55,50,2760,0.4754,0.3753,15302
tournament_matchups,0.55,75,2760,0.4754,0.3753,15302
tournament_matchups,0.55,100,2760,0.4754,0.3753,15302
tournament_matchups,0.55,150,2760,0.4754,0.3753,15302
tournament_matchups,0.55,200,2760,0.4754,0.3753,15302
tournament_matchups,0.60,3,1562,0.4731,0.3753,15302
tournament_matchups,0.60,4,1562,0.4731,0.3753,15302
tournament_matchups,0.60,5,1562,0.4731,0.3753,15302
tournament_matchups,0.60,6,1562,0.4731,0.3753,15302
tournament_matchups,0.60,7,1562,0.4731,0.3753,15302
tournament_matchups,0.60,8,1562,0.4731,0.3753,15302
tournament_matchups,0.60,9,1562,0.4731,0.3753,15302
tournament_matchups,0.60,10,1562,0.4731,0.3753,15302
tournament_matchups,0.60,12,1562,0.4731,0.3753,15302
tournament_matchups,0.60,15,1562,0.4731,0.3753,15302
tournament_matchups,0.60,20,1562,0.4731,0.3753,15302
tournament_matchups,0.60,25,1562,0.4731,0.3753,15302
tournament_matchups,0.60,30,1562,0.4731,0.3753,15302
tournament_matchups,0.60,40,1562,0.4731,0.3753,15302
tournament_matchups,0.60,50,1562,0.4731,0.3753,15302
tournament_matchups,0.60,75,1562,0.4731,0.3753,15302
tournament_matchups,0.60,100,1562,0.4731,0.3753,15302
tournament_matchups,0.60,150,1562,0.4731,0.3753,15302
tournament_matchups,0.60,200,1562,0.4731,0.3753,15302
tournament_matchups,0.65,3,746,0.4759,0.3753,15302
tournament_matchups,0.65,4,746,0.4759,0.3753,15302
tournament_matchups,0.65,5,746,0.4759,0.3753,15302
tournament_matchups,0.65,6,746,0.4759,0.3753,15302
tournament_matchups,0.65,7,746,0.4759,0.3753,15302
tournament_matchups,0.65,8,746,0.4759,0.3753,15302
tournament_matchups,0.65,9,746,0.4759,0.3753,15302
