Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,5086819228,kevinroach (61/150),0,287.05,G Tommy Fleetwood G Jacob Bridgeman G Sepp Straka G Justin Thomas G Sahith Theegala G Corey Conners,,Collin Morikawa,G,26.90%,1.5
2,5086771729,ed8802 (1/2),0,286.55,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Ben Griffin G Sepp Straka G Austin Smotherman,,Si Woo Kim,G,24.01%,24.65
3,5086550070,johnnybravo01 (1/2),0,282.6,G Tommy Fleetwood G Ludvig Aberg G Viktor Hovland G Sepp Straka G Sahith Theegala G Ricky Castillo,,Russell Henley,G,21.28%,45.9
4,5086212721,craftylefty (29/40),0,279.7,G Ludvig Aberg G Matt Fitzpatrick G Sepp Straka G Maverick McNealy G Harris English G Sahith Theegala,,Ludvig Aberg,G,21.07%,44.75
5,5086825331,kurtmore8 (2/2),0,277.75,G Ludvig Aberg G Viktor Hovland G Russell Henley G Sepp Straka G Jason Day G Tony Finau,,Scottie Scheffler,G,20.94%,30.8
6,5086514682,millsat (5/9),0,275.65,G Ludvig Aberg G Matt Fitzpatrick G Robert MacIntyre G Sepp Straka G Maverick McNealy G Sahith Theegala,,Jake Knapp,G,19.16%,21.15
7,5085958977,LetEmKnow (2/4),0,275.6,G Hideki Matsuyama G Russell Henley G Min Woo Lee G Sepp Straka G Maverick McNealy G Justin Thomas,,Daniel Berger,G,18.96%,30.8
8,5085491395,eortega0917 (2/16),0,273.7,G Ludvig Aberg G Viktor Hovland G Jacob Bridgeman G Ben Griffin G Sepp Straka G Maverick McNealy,,Akshay Bhatia,G,16.53%,35.3
9,5086261217,EHulseDC (98/150),0,273.5,G Viktor Hovland G Russell Henley G Matt Fitzpatrick G Sepp Straka G Maverick McNealy G Nicolai Hojgaard,,Tommy Fleetwood,G,16.34%,48.6
10,5086658957,johnson1744 (6/6),0,272.35,G Hideki Matsuyama G Ludvig Aberg G Russell Henley G Sepp Straka G Maverick McNealy G Max Greyserman,,Min Woo Lee,G,15.52%,33.9
11,5086739918,BullDawg18,0,271.8,G Ludvig Aberg G Viktor Hovland G Russell Henley G Maverick McNealy G Harris English G Sahith Theegala,,Maverick McNealy,G,15.19%,49.2
12,5085971897,TheGodfathers1,0,270.7,G Ludvig Aberg G Viktor Hovland G Cameron Young G Sepp Straka G Jordan Spieth G Sahith Theegala,,Matt Fitzpatrick,G,14.02%,44.3
13,5085626906,Stonesalltheway (62/150),0,269.85,G Ludvig Aberg G Russell Henley G Cameron Young G Sepp Straka G Maverick McNealy G Daniel Berger,,Alex Noren,G,12.92%,35.05
14,5086212127,Olson.kj (36/100),0,268.94998,G Ludvig Aberg G Viktor Hovland G Matt Fitzpatrick G Maverick McNealy G Justin Thomas G Alex Noren,,Cameron Young,G,12.87%,44.95
15,5085482624,JPB2014 (81/150),0,268.4,G Tommy Fleetwood G Russell Henley G Matt Fitzpatrick G Maverick McNealy G J.J. Spaun G Max Homa,,Patrick Cantlay,G,12.53%,27.75
16,5085478935,ItsDrakeo (43/150),0,268.1,G Si Woo Kim G Hideki Matsuyama G Ben Griffin G Sepp Straka G Maverick McNealy G Sahith Theegala,,Viktor Hovland,G,11.64%,44.75
17,5086514097,PantherForLife1 (1/3),0,267.85,G Tommy Fleetwood G Russell Henley G Ben Griffin G Sahith Theegala G Corey Conners G J.J. Spaun,,Ricky Castillo,G,11.59%,35.05
17,5086829470,chased97 (19/150),0,267.84998,G Ludvig Aberg G Matt Fitzpatrick G Ben Griffin G Sepp Straka G Maverick McNealy G Harris English,,Rickie Fowler,G,11.57%,37.4
19,5085626879,Stonesalltheway (35/150),0,266.80002,G Ludvig Aberg G Russell Henley G Cameron Young G Sepp Straka G Patrick Cantlay G Maverick McNealy,,Ryan Gerard,G,11.29%,29.65
20,5086278867,egersh92 (2/2),0,266.35,G Ludvig Aberg G Russell Henley G Jacob Bridgeman G Min Woo Lee G Maverick McNealy G Sahith Theegala,,Harris English,G,10.86%,32
21,5086622223,Carlserrano (5/6),0,265.65002,G Ludvig Aberg G Viktor Hovland G Akshay Bhatia G Sepp Straka G Rickie Fowler G Maverick McNealy,,Xander Schauffele,G,9.36%,40.7
22,5086144789,skeetsmcgee (6/10),0,265.19998,G Ludvig Aberg G Cameron Young G Akshay Bhatia G Justin Thomas G Sahith Theegala G Ryo Hisatsune,,Hideki Matsuyama,G,9.18%,41.45
23,5086819214,kevinroach (47/150),0,265,G Rory McIlroy G Russell Henley G Sepp Straka G Justin Thomas G Sahith Theegala G Bud Cauley,,Sepp Straka,G,8.47%,54.25
24,5085505817,rudyross (22/51),0,264.75,G Si Woo Kim G Hideki Matsuyama G Ben Griffin G Maverick McNealy G Justin Thomas G Sahith Theegala,,Adam Scott,G,8.31%,32
25,5086817468,RipeAvocado (2/2),0,264.6,G Tommy Fleetwood G Russell Henley G Ben Griffin G Sepp Straka G Rickie Fowler G Nicolai Hojgaard,,Robert MacIntyre,G,8.18%,27.95
